
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
126.733,261.769,34.9177,um,Spot,Position,1,1000000000,0,
128.216,252.288,33.2464,um,Spot,Position,1,1000000001,1,
131.335,274.532,41.937,um,Spot,Position,1,1000000002,2,
136.268,269.447,34.1049,um,Spot,Position,1,1000000003,3,
137.614,263.144,30.9034,um,Spot,Position,1,1000000004,4,
138.56,284.907,34.8937,um,Spot,Position,1,1000000005,5,
142.179,256.816,30.6501,um,Spot,Position,1,1000000006,6,
144.315,250.646,31.6777,um,Spot,Position,1,1000000007,7,
145.741,280.5,31.8807,um,Spot,Position,1,1000000008,8,
146.055,258.874,26.389,um,Spot,Position,1,1000000009,9,
146.991,265.155,29.7565,um,Spot,Position,1,1000000010,10,
147.815,283.704,35.9106,um,Spot,Position,1,1000000011,11,
150.87,271.629,31.8716,um,Spot,Position,1,1000000012,12,
151.809,252.92,27.7191,um,Spot,Position,1,1000000013,13,
152.392,285.423,36.6482,um,Spot,Position,1,1000000014,14,
153.27,269.031,25.3881,um,Spot,Position,1,1000000015,15,
153.848,250.72,21.5394,um,Spot,Position,1,1000000016,16,
154.454,277.643,28.7953,um,Spot,Position,1,1000000017,17,
154.196,285.796,30.7164,um,Spot,Position,1,1000000018,18,
156.695,291.709,36.3943,um,Spot,Position,1,1000000019,19,
158.218,274.376,34.6404,um,Spot,Position,1,1000000020,20,
159.803,281.904,36.1305,um,Spot,Position,1,1000000021,21,
160.06,247.944,17.8118,um,Spot,Position,1,1000000022,22,
160.082,292.1,29.8235,um,Spot,Position,1,1000000023,23,
162.89,253.757,19.2651,um,Spot,Position,1,1000000024,24,
163.806,275.466,26.8982,um,Spot,Position,1,1000000025,25,
163.679,289.006,34.2172,um,Spot,Position,1,1000000026,26,
165.542,260.563,20.3158,um,Spot,Position,1,1000000027,27,
166.855,284.886,23.5322,um,Spot,Position,1,1000000028,28,
167.492,267.979,25.8332,um,Spot,Position,1,1000000029,29,
167.312,299.092,38.1098,um,Spot,Position,1,1000000030,30,
168.653,282.928,34.8508,um,Spot,Position,1,1000000031,31,
168.167,294.658,27.2489,um,Spot,Position,1,1000000032,32,
172.164,316.739,36.1043,um,Spot,Position,1,1000000033,33,
172.336,266.437,20.41,um,Spot,Position,1,1000000034,34,
172.774,274.303,22.4273,um,Spot,Position,1,1000000035,35,
172.626,279.51,29.4903,um,Spot,Position,1,1000000036,36,
172.75,289.627,30.4843,um,Spot,Position,1,1000000037,37,
173.521,291.281,37.9681,um,Spot,Position,1,1000000038,38,
175.233,304.843,30.8061,um,Spot,Position,1,1000000039,39,
176.992,296.491,31.3443,um,Spot,Position,1,1000000040,40,
180.642,273.497,15.0335,um,Spot,Position,1,1000000041,41,
181.924,291.37,25.427,um,Spot,Position,1,1000000042,42,
182.68,293.061,32.471,um,Spot,Position,1,1000000043,43,
182.736,306.019,31.6638,um,Spot,Position,1,1000000044,44,
184,314.482,32.8619,um,Spot,Position,1,1000000045,45,
184.623,300.811,29.5246,um,Spot,Position,1,1000000046,46,
188.762,298.581,25.3737,um,Spot,Position,1,1000000047,47,
190.873,297.598,31.73,um,Spot,Position,1,1000000048,48,
191.162,328.143,35.6046,um,Spot,Position,1,1000000049,49,
193.546,274.791,13.7391,um,Spot,Position,1,1000000050,50,
196.521,286.008,23.1948,um,Spot,Position,1,1000000051,51,
198.287,307.582,35.4746,um,Spot,Position,1,1000000052,52,
201.676,302.958,28.5949,um,Spot,Position,1,1000000053,53,
202.027,326.098,38.1228,um,Spot,Position,1,1000000054,54,
202.863,313.368,26.327,um,Spot,Position,1,1000000055,55,
208.108,301.403,20.0065,um,Spot,Position,1,1000000056,56,
208.422,280.214,38.8428,um,Spot,Position,1,1000000057,57,
209.6,298.965,24.7466,um,Spot,Position,1,1000000058,58,
212.789,308.043,31.3656,um,Spot,Position,1,1000000059,59,
215.059,305.367,15.5651,um,Spot,Position,1,1000000060,60,
221.135,299.363,21.5387,um,Spot,Position,1,1000000061,61,
225.632,250.773,3.80488,um,Spot,Position,1,1000000062,62,
225.439,306.148,21.3943,um,Spot,Position,1,1000000063,63,
228.847,289.846,38.3194,um,Spot,Position,1,1000000064,64,
232.009,308.037,32.9464,um,Spot,Position,1,1000000065,65,
231.292,309.763,35.6281,um,Spot,Position,1,1000000066,66,
232.135,301.839,21.4454,um,Spot,Position,1,1000000067,67,
233.832,332.345,35.3988,um,Spot,Position,1,1000000068,68,
236.356,272.811,7.60853,um,Spot,Position,1,1000000069,69,
237.121,309.11,24.6519,um,Spot,Position,1,1000000070,70,
238.812,290.349,35.8919,um,Spot,Position,1,1000000071,71,
239.131,282.65,34.6323,um,Spot,Position,1,1000000072,72,
239.261,334.147,38.0757,um,Spot,Position,1,1000000073,73,
239.998,321.837,21.8788,um,Spot,Position,1,1000000074,74,
241.695,301.993,24.2804,um,Spot,Position,1,1000000075,75,
242.526,327.492,27.1841,um,Spot,Position,1,1000000076,76,
244.185,310.929,37.4492,um,Spot,Position,1,1000000077,77,
243.762,323.898,38.2112,um,Spot,Position,1,1000000078,78,
244.679,265.584,6.51543,um,Spot,Position,1,1000000079,79,
244.588,316.784,20.6877,um,Spot,Position,1,1000000080,80,
246.581,293.413,15.4537,um,Spot,Position,1,1000000081,81,
249.182,302.357,39.2389,um,Spot,Position,1,1000000082,82,
250.023,297.212,21.8851,um,Spot,Position,1,1000000083,83,
249.767,319.849,35.4483,um,Spot,Position,1,1000000084,84,
250.497,310.761,26.1927,um,Spot,Position,1,1000000085,85,
251.875,271.529,9.38776,um,Spot,Position,1,1000000086,86,
254.316,290.449,16.8486,um,Spot,Position,1,1000000087,87,
254.513,301.584,37.0632,um,Spot,Position,1,1000000088,88,
254.863,310.497,37.3271,um,Spot,Position,1,1000000089,89,
256.236,280.802,13.1583,um,Spot,Position,1,1000000090,90,
258.471,280.673,19.6854,um,Spot,Position,1,1000000091,91,
258.705,309.452,31.6458,um,Spot,Position,1,1000000092,92,
259.319,319.909,35.5577,um,Spot,Position,1,1000000093,93,
259.894,320.077,33.0715,um,Spot,Position,1,1000000094,94,
261.077,292.7,31.6213,um,Spot,Position,1,1000000095,95,
261.922,306.36,37.7562,um,Spot,Position,1,1000000096,96,
263.547,295.662,23.8512,um,Spot,Position,1,1000000097,97,
263.53,297.429,39.409,um,Spot,Position,1,1000000098,98,
269.204,282.251,15.9079,um,Spot,Position,1,1000000099,99,
269.441,288.719,28.8026,um,Spot,Position,1,1000000100,100,
270.555,283.099,33.8696,um,Spot,Position,1,1000000101,101,
269.879,308.274,26.0096,um,Spot,Position,1,1000000102,102,
271.118,239.886,10.2666,um,Spot,Position,1,1000000103,103,
271.113,298.021,27.5161,um,Spot,Position,1,1000000104,104,
270.833,307.806,34.6648,um,Spot,Position,1,1000000105,105,
273.875,273.238,20.6409,um,Spot,Position,1,1000000106,106,
273.51,299.472,36.0763,um,Spot,Position,1,1000000107,107,
274.342,313.451,32.9084,um,Spot,Position,1,1000000108,108,
277.344,262.067,19.0422,um,Spot,Position,1,1000000109,109,
278.582,310.021,45.1462,um,Spot,Position,1,1000000110,110,
279.233,268.491,18.2002,um,Spot,Position,1,1000000111,111,
279.026,299.821,29.4219,um,Spot,Position,1,1000000112,112,
279.754,239.925,14.8551,um,Spot,Position,1,1000000113,113,
279.925,294.018,38.6276,um,Spot,Position,1,1000000114,114,
280.936,280.834,30.4974,um,Spot,Position,1,1000000115,115,
282.863,267.53,24.9087,um,Spot,Position,1,1000000116,116,
282.285,279.462,24.8482,um,Spot,Position,1,1000000117,117,
282.495,293.706,31.4585,um,Spot,Position,1,1000000118,118,
283.619,253.93,23.1116,um,Spot,Position,1,1000000119,119,
283.589,304.586,38.1029,um,Spot,Position,1,1000000120,120,
286.236,240.471,15.7048,um,Spot,Position,1,1000000121,121,
287.006,248.709,20.6237,um,Spot,Position,1,1000000122,122,
286.727,274.297,27.0117,um,Spot,Position,1,1000000123,123,
287.147,290.185,33.5283,um,Spot,Position,1,1000000124,124,
289.5,280.59,29.9421,um,Spot,Position,1,1000000125,125,
290.382,261.64,24.8831,um,Spot,Position,1,1000000126,126,
291.585,286.315,36.9817,um,Spot,Position,1,1000000127,127,
291.645,302.842,35.6728,um,Spot,Position,1,1000000128,128,
292.558,266.577,29.818,um,Spot,Position,1,1000000129,129,
292.012,288.969,25.9694,um,Spot,Position,1,1000000130,130,
293.92,253.278,21.8551,um,Spot,Position,1,1000000131,131,
294.378,275.838,35.5983,um,Spot,Position,1,1000000132,132,
294.552,258.624,29.6282,um,Spot,Position,1,1000000133,133,
295.937,279.736,30.7476,um,Spot,Position,1,1000000134,134,
297.467,268.152,28.1395,um,Spot,Position,1,1000000135,135,
297.311,298.957,33.8502,um,Spot,Position,1,1000000136,136,
299.163,246.258,16.2339,um,Spot,Position,1,1000000137,137,
301.261,268.971,35.5922,um,Spot,Position,1,1000000138,138,
302.538,280.514,28.543,um,Spot,Position,1,1000000139,139,
302.879,284.813,38.8671,um,Spot,Position,1,1000000140,140,
304.448,257.106,30.5338,um,Spot,Position,1,1000000141,141,
304.716,278.256,36.2859,um,Spot,Position,1,1000000142,142,
304.634,292.94,43.0941,um,Spot,Position,1,1000000143,143,
305.361,264.68,35.6146,um,Spot,Position,1,1000000144,144,
